a(radian), a(degree) , Eruling, Ebend, Eparalell, Ebend,,243.77,0,38.6366,0.405974
3.20659,183.724,23.4588,99.4032,1.65118,1,,247.552,0,31.1655,0.191979
3.20759,183.782,23.457,97.1204,1.65107,1,,247.609,0,31.0942,0.189196
3.20859,183.839,23.4552,94.9264,1.65097,1,,247.666,0,31.024,0.186432
3.20959,183.896,23.4535,92.8165,1.65086,1,,247.724,0,30.9548,0.183686
3.21059,183.953,23.4517,90.7864,1.65075,1,,247.781,0,30.8867,0.18096
3.21159,184.011,23.4499,88.832,1.65064,1,,247.838,0,30.8195,0.178253
3.21259,184.068,23.4481,86.9494,1.65053,1,,247.895,0,30.7534,0.175566
3.21359,184.125,23.4463,85.1351,1.65042,1,,247.953,0,30.6882,0.172898
3.21459,184.183,23.4445,83.3857,1.65031,1,,248.01,0,30.624,0.17025
3.21559,184.24,23.4427,81.6981,1.6502,1,,248.067,0,30.5609,0.167622
3.21659,184.297,23.4409,80.0693,1.65009,1,,248.125,0,30.4987,0.165015
3.21759,184.354,23.4391,78.4966,1.64998,1,,248.182,0,30.4375,0.162428
3.21859,184.412,23.4372,76.9774,1.64986,1,,248.239,0,30.3772,0.159862
3.21959,184.469,23.4354,75.5091,1.64975,1,,248.297,0,30.318,0.157317
3.22059,184.526,23.4335,74.0895,1.64963,1,,248.354,0,30.2596,0.154793
3.22159,184.584,23.4317,72.7165,1.64952,1,,248.411,0,30.2023,0.152291
3.22259,184.641,23.4298,71.3878,1.6494,1,,248.468,0,30.1459,0.149809
3.22359,184.698,23.428,70.1017,1.64929,1,,248.526,0,30.0904,0.14735
3.22459,184.756,23.4261,68.8563,1.64917,1,,248.583,0,30.0359,0.144912
3.22559,184.813,23.4242,67.6498,1.64905,1,,248.64,0,29.9823,0.142497
3.22659,184.87,23.4223,66.4806,1.64894,1,,248.698,0,29.9296,0.140103
3.22759,184.927,23.4204,65.3472,1.64882,1,,248.755,0,29.8779,0.137732
3.22859,184.985,23.4185,64.2481,1.6487,1,,248.812,0,29.8271,0.135384
3.22959,185.042,23.4166,63.1818,1.64858,1,,248.87,0,29.7772,0.133058
3.23059,185.099,23.4147,62.1471,1.64846,1,,248.927,0,29.7282,0.130755
3.23159,185.157,23.4128,61.1427,1.64834,1,,248.984,0,29.6802,0.128476
3.23259,185.214,23.4108,60.1675,1.64822,1,,249.041,0,29.633,0.126219
3.23359,185.271,23.4089,59.2202,1.64809,1,,249.099,0,29.5868,0.123986
3.23459,185.329,23.4069,58.2999,1.64797,1,,249.156,0,29.5414,0.121777
3.23559,185.386,23.405,57.4054,1.64785,1,,249.213,0,29.4969,0.119591
3.23659,185.443,23.403,56.5359,1.64772,1,,249.271,0,29.4534,0.117429
3.23759,185.5,23.401,55.6903,1.6476,1,,249.328,0,29.4107,0.115292
3.23859,185.558,23.3991,54.8679,1.64748,1,,249.385,0,29.3689,0.113178
3.23959,185.615,23.3971,54.0677,1.64735,1,,249.442,0,29.328,0.111089
3.24059,185.672,23.3951,53.289,1.64722,1,,249.5,0,29.2879,0.109024
3.24159,185.73,23.3931,52.531,1.6471,1,,249.557,0,29.2488,0.106984
3.24259,185.787,23.3911,51.793,1.64697,1,,249.614,0,29.2105,0.104969
3.24359,185.844,23.3891,51.0742,1.64684,1,,249.672,0,29.1731,0.102979
3.24459,185.901,23.387,50.3741,1.64671,1,,249.729,0,29.1365,0.101014
3.24559,185.959,23.385,49.6919,1.64658,1,,249.786,0,29.1009,0.099074
3.24659,186.016,23.383,49.027,1.64645,1,,249.844,0,29.0661,0.0971594
3.24759,186.073,23.3809,48.379,1.64632,1,,249.901,0,29.0321,0.0952703
3.24859,186.131,23.3789,47.7471,1.64619,1,,249.958,0,28.999,0.0934068
3.24959,186.188,23.3768,47.1309,1.64606,1,,250.015,0,28.9668,0.0915691
3.25059,186.245,23.3748,46.5299,1.64593,1,,250.073,0,28.9354,0.0897571
3.25159,186.303,23.3727,45.9436,1.64579,1,,250.13,0,28.9049,0.0879712
3.25259,186.36,23.3706,45.3715,1.64566,1,,250.187,0,28.8752,0.0862114
3.25359,186.417,23.3685,44.8131,1.64553,1,,250.245,0,28.8464,0.0844777
3.25459,186.474,23.3664,44.2681,1.64539,1,,250.302,0,28.8184,0.0827704
3.25559,186.532,23.3643,43.736,1.64526,1,,250.359,0,28.7913,0.0810895
3.25659,186.589,23.3622,43.2163,1.64512,1,,250.417,0,28.7651,0.0794351
3.25759,186.646,23.3601,42.7089,1.64498,1,,250.474,0,28.7396,0.0778074
3.25859,186.704,23.358,42.2131,1.64485,1,,250.531,0,28.7151,0.0762064
3.25959,186.761,23.3558,41.7288,1.64471,1,,250.588,0,28.6913,0.0746323
3.26059,186.818,23.3537,41.2556,1.64457,1,,250.646,0,28.6684,0.0730851
3.26159,186.875,23.3515,40.7931,1.64443,1,,250.703,0,28.6464,0.0715649
3.26259,186.933,23.3494,40.341,1.64429,1,,250.76,0,28.6252,0.0700718
3.26359,186.99,23.3472,39.899,1.64415,1,,250.818,0,28.6048,0.0686059
3.26459,187.047,23.345,39.4669,1.64401,1,,250.875,0,28.5853,0.0671673
3.26559,187.105,23.3429,39.0444,1.64387,1,,250.932,0,28.5666,0.0657561
3.26659,187.162,23.3407,38.6311,1.64373,1,,250.989,0,28.5487,0.0643723
3.26759,187.219,23.3385,38.2268,1.64358,1,,251.047,0,28.5317,0.063016
3.26859,187.277,23.3363,37.8314,1.64344,1,,251.104,0,28.5156,0.0616873
3.26959,187.334,23.3341,37.4444,1.6433,1,,251.161,0,28.5002,0.0603863
3.27059,187.391,23.3318,37.0658,1.64315,1,,251.219,0,28.4857,0.059113
3.27159,187.448,23.3296,36.6952,1.64301,1,,251.276,0,28.4721,0.0578674
3.27259,187.506,23.3274,36.3325,1.64286,1,,251.333,0,28.4593,0.0566498
3.27359,187.563,23.3251,35.9775,1.64271,1,,251.391,0,28.4473,0.05546
3.27459,187.62,23.3229,35.6299,1.64257,1,,251.448,0,28.4362,0.0542982
3.27559,187.678,23.3206,35.2895,1.64242,1,,251.505,0,28.4259,0.0531644
3.27659,187.735,23.3184,34.9562,1.64227,1,,251.562,0,28.4165,0.0520587
3.27759,187.792,23.3161,34.6298,1.64212,1,,251.62,0,28.4079,0.0509811
3.27859,187.85,23.3138,34.3102,1.64197,1,,251.677,0,28.4001,0.0499316
3.27959,187.907,23.3115,33.997,1.64182,1,,251.734,0,28.3932,0.0489103
3.28059,187.964,23.3092,33.6902,1.64167,1,,251.792,0,28.3872,0.0479173
3.28159,188.021,23.3069,33.3897,1.64152,1,,251.849,0,28.382,0.0469525
3.28259,188.079,23.3046,33.0952,1.64137,1,,251.906,0,28.3776,0.046016
3.28359,188.136,23.3023,32.8066,1.64121,1,,251.963,0,28.3741,0.0451079
3.28459,188.193,23.3,32.5238,1.64106,1,,252.021,0,28.3715,0.044228
3.28559,188.251,23.2976,32.2466,1.6409,1,,252.078,0,28.3697,0.0433766
3.28659,188.308,23.2953,31.9749,1.64075,1,,252.135,0,28.3687,0.0425536
3.28759,188.365,23.2929,31.7086,1.64059,1,,252.193,0,28.3686,0.041759
3.28859,188.422,23.2906,31.4475,1.64044,1,,252.25,0,28.3694,0.0409928
3.28959,188.48,23.2882,31.1915,1.64028,1,,252.307,0,28.3711,0.040255
3.29059,188.537,23.2858,30.9405,1.64012,1,,252.365,0,28.3736,0.0395457
3.29159,188.594,23.2835,30.6945,1.63996,1,,252.422,0,28.377,0.0388649
3.29259,188.652,23.2811,30.4532,1.63981,1,,252.479,0,28.3812,0.0382125
3.29359,188.709,23.2787,30.2165,1.63965,1,,252.536,0,28.3864,0.0375885
3.29459,188.766,23.2763,29.9844,1.63949,1,,252.594,0,28.3924,0.036993
3.29559,188.824,23.2739,29.7568,1.63932,1,,252.651,0,28.3992,0.036426
3.29659,188.881,23.2714,29.5335,1.63916,1,,252.708,0,28.407,0.0358874
3.29759,188.938,23.269,29.3146,1.639,1,,252.766,0,28.4157,0.0353773
3.29859,188.995,23.2666,29.0997,1.63884,1,,252.823,0,28.4252,0.0348956
3.29959,189.053,23.2641,28.889,1.63867,1,,252.88,0,28.4356,0.0344423
3.30059,189.11,23.2617,28.6823,1.63851,1,,252.938,0,28.447,0.0340173
3.30159,189.167,23.2592,28.4794,1.63835,1,,252.995,0,28.4592,0.0336208
3.30259,189.225,23.2567,28.2804,1.63818,1,,253.052,0,28.4723,0.0332525
3.30359,189.282,23.2542,28.0852,1.63801,1,,253.109,0,28.4864,0.0329126
3.30459,189.339,23.2518,27.8936,1.63785,1,,253.167,0,28.5013,0.032601
3.30559,189.397,23.2493,27.7056,1.63768,1,,253.224,0,28.5172,0.0323176
3.30659,189.454,23.2468,27.5212,1.63751,1,,253.281,0,28.534,0.0320625
3.30759,189.511,23.2443,27.3402,1.63734,1,,253.339,0,28.5517,0.0318355
3.30859,189.568,23.2417,27.1625,1.63717,1,,253.396,0,28.5703,0.0316367
3.30959,189.626,23.2392,26.9882,1.637,1,,253.453,0,28.5899,0.031466
3.31059,189.683,23.2367,26.8172,1.63683,1,,253.51,0,28.6104,0.0313233
3.31159,189.74,23.2341,26.6493,1.63666,1,,253.568,0,28.6319,0.0312087
3.31259,189.798,23.2316,26.4846,1.63649,1,,253.625,0,28.6543,0.031122
3.31359,189.855,23.229,26.3229,1.63632,1,,253.682,0,28.6776,0.0310632
3.31459,189.912,23.2265,26.1643,1.63614,1,,253.74,0,28.702,0.0310323
3.31559,189.969,23.2239,26.0086,1.63597,1,,253.797,0,28.7273,0.0310292
3.31659,190.027,23.2213,25.8558,1.63579,1,,253.854,0,28.7535,0.0310538
3.31759,190.084,23.2187,25.7058,1.63562,1,,253.912,0,28.7808,0.0311061
3.31859,190.141,23.2161,25.5586,1.63544,1,,253.969,0,28.809,0.0311859
3.31959,190.199,23.2135,25.4142,1.63526,1,,254.026,0,28.8382,0.0312934
3.32059,190.256,23.2109,25.2725,1.63509,1,,254.083,0,28.8684,0.0314283
3.32159,190.313,23.2082,25.1334,1.63491,1,,254.141,0,28.8996,0.0315906
3.32259,190.371,23.2056,24.9969,1.63473,1,,254.198,0,28.9318,0.0317802
3.32359,190.428,23.203,24.8629,1.63455,1,,254.255,0,28.965,0.0319971
3.32459,190.485,23.2003,24.7315,1.63437,1,,254.313,0,28.9993,0.0322412
3.32559,190.542,23.1977,24.6025,1.63419,1,,254.37,0,29.0652,0.0325124
3.32659,190.6,23.195,24.476,1.634,1,,254.427,0,29.1733,0.0328105
3.32759,190.657,23.1923,24.3518,1.63382,1,,254.485,0,29.2826,0.0331356
3.32859,190.714,23.1896,24.23,1.63364,1,,254.542,0,29.3931,0.0334875
3.32959,190.772,23.1869,24.1105,1.63345,1,,254.599,0,29.5048,0.0338662
3.33059,190.829,23.1842,23.9932,1.63327,1,,254.656,0,29.6178,0.0342715
3.33159,190.886,23.1815,23.8782,1.63308,1,,254.714,0,29.7321,0.0347059
3.33259,190.943,23.1788,23.7653,1.6329,1,,254.771,0,29.8476,0.0351659
3.33359,191.001,23.1761,23.6546,1.63271,1,,254.828,0,29.9645,0.0356465
3.33459,191.058,23.1733,23.5461,1.63252,1,,254.886,0,30.0826,0.0361575
3.33559,191.115,23.1706,23.4396,1.63233,1,,254.943,0,30.202,0.0366947
3.33659,191.173,23.1679,23.3352,1.63215,1,,255,0,30.3228,0.0372579
3.33759,191.23,23.1651,23.2328,1.63196,1,,255.057,0,30.4449,0.037847
3.33859,191.287,23.1623,23.1324,1.63177,1,,255.115,0,30.5684,0.038462
3.33959,191.345,23.1595,23.034,1.63157,1,,255.172,0,30.6933,0.0391028
3.34059,191.402,23.1568,22.9375,1.63138,1,,255.229,0,30.8196,0.0397691
3.34159,191.459,23.154,22.8429,1.63119,1,,255.287,0,30.9473,0.040461
3.34259,191.516,23.1512,22.7502,1.631,1,,255.344,0,31.0764,0.0411782
3.34359,191.574,23.1483,22.6594,1.6308,1,,255.401,0,31.207,0.0419207
3.34459,191.631,23.1455,22.5704,1.63061,1,,255.459,0,31.339,0.0426884
3.34559,191.688,23.1427,22.4832,1.63041,1,,255.516,0,31.4725,0.0434811
3.34659,191.746,23.1399,22.3977,1.63022,1,,255.573,0,31.6075,0.0442987
3.34759,191.803,23.137,22.3141,1.63002,1,,255.63,0,31.744,0.0451411
3.34859,191.86,23.1342,22.2321,1.62982,1,,255.688,0,31.8821,0.0460081
3.34959,191.918,23.1313,22.1519,1.62962,1,,255.745,0,32.0217,0.0468996
3.35059,191.975,23.1284,22.0733,1.62942,1,,255.802,0,32.1628,0.0478155
3.35159,192.032,23.1255,21.9964,1.62922,1,,255.86,0,32.3056,0.0487557
3.35259,192.089,23.1226,21.9212,1.62902,1,,255.917,0,32.45,0.04972
3.35359,192.147,23.1198,21.8476,1.62882,1,,255.974,0,32.596,0.0507083
3.35459,192.204,23.1168,21.7756,1.62862,1,,256.031,0,32.7437,0.0517204
3.35559,192.261,23.1139,21.7051,1.62842,1,,256.089,0,32.893,0.0527563
3.35659,192.319,23.111,21.6362,1.62821,1,,256.146,0,33.044,0.0538157
3.35759,192.376,23.1081,21.5689,1.62801,1,,256.203,0,33.1968,0.0548985
3.35859,192.433,23.1051,21.5031,1.6278,1,,256.261,0,33.3512,0.0560046
3.35959,192.49,23.1022,21.4388,1.6276,1,,256.318,0,33.5075,0.0571338
3.36059,192.548,23.0992,21.376,1.62739,1,,256.375,0,33.6655,0.058286
3.36159,192.605,23.0962,21.3147,1.62718,1,,256.433,0,33.8253,0.059461
3.36259,192.662,23.0933,21.2548,1.62697,1,,256.49,0,33.987,0.0606588
3.36359,192.72,23.0903,21.1964,1.62677,1,,256.547,0,34.1505,0.061879
3.36459,192.777,23.0873,21.1394,1.62656,1,,256.604,0,34.3158,0.0631216
3.36559,192.834,23.0843,21.0838,1.62635,1,,256.662,0,34.4831,0.0643865
3.36659,192.892,23.0813,21.0296,1.62613,1,,256.719,0,34.6523,0.0656734
3.36759,192.949,23.0782,20.9768,1.62592,1,,256.776,0,34.8235,0.0669822
3.36859,193.006,23.0752,20.9254,1.62571,1,,256.834,0,34.9966,0.0683128
3.36959,193.063,23.0722,20.8753,1.6255,1,,256.891,0,35.1718,0.069665
3.37059,193.121,23.0691,20.8266,1.62528,1,,256.948,0,35.3489,0.0710385
3.37159,193.178,23.0661,20.7792,1.62507,1,,257.006,0,35.5282,0.0724334
3.37259,193.235,23.063,20.7332,1.62485,1,,257.063,0,35.7095,0.0738494
3.37359,193.293,23.0599,20.6884,1.62463,1,,257.12,0,35.8929,0.0752862
3.37459,193.35,23.0568,20.6449,1.62442,1,,257.177,0,36.0785,0.0767439
3.37559,193.407,23.0537,20.6028,1.6242,1,,257.235,0,36.2662,0.0782222
3.37659,193.465,23.0506,20.5619,1.62398,1,,257.292,0,36.4562,0.0797208
3.37759,193.522,23.0475,20.5223,1.62376,1,,257.349,0,36.6484,0.0812398
3.37859,193.579,23.0444,20.4839,1.62354,1,,257.407,0,36.8429,0.0827788
3.37959,193.636,23.0413,20.4468,1.62332,1,,257.464,0,37.0396,0.0843378
3.38059,193.694,23.0381,20.4109,1.6231,1,,257.521,0,37.2387,0.0859165
3.38159,193.751,23.035,20.3762,1.62287,1,,257.578,0,37.4402,0.0875148
3.38259,193.808,23.0318,20.3428,1.62265,1,,257.636,0,37.6441,0.0891325
3.38359,193.866,23.0286,20.3105,1.62242,1,,,,,
3.38459,193.923,23.0255,20.2795,1.6222,1,,,,,
3.38559,193.98,23.0223,20.2497,1.62197,1,,,,,
3.38659,194.037,23.0191,20.221,1.62175,1,,,,,
3.38759,194.095,23.0159,20.1936,1.62152,1,,,,,
3.38859,194.152,23.0127,20.1673,1.62129,1,,,,,
3.38959,194.209,23.0094,20.1422,1.62106,1,,,,,
3.39059,194.267,23.0062,20.1182,1.62083,1,,,,,
3.39159,194.324,23.003,20.0954,1.6206,1,,,,,
3.39259,194.381,22.9997,20.0737,1.62037,1,,,,,
3.39359,194.439,22.9964,20.0532,1.62013,1,,,,,
3.39459,194.496,22.9932,20.0338,1.6199,1,,,,,
3.39559,194.553,22.9899,20.0156,1.61967,1,,,,,
3.39659,194.61,22.9866,19.9985,1.61943,1,,,,,
3.39759,194.668,22.9833,19.9825,1.6192,1,,,,,
3.39859,194.725,22.98,19.9677,1.61896,1,,,,,
3.39959,194.782,22.9767,19.9539,1.61872,1,,,,,
3.40059,194.84,22.9733,19.9413,1.61848,1,,,,,
3.40159,194.897,22.97,19.9298,1.61824,1,,,,,
3.40259,194.954,22.9667,19.9193,1.618,1,,,,,
3.40359,195.011,22.9633,19.91,1.61776,1,,,,,
3.40459,195.069,22.9599,19.9018,1.61752,1,,,,,
3.40559,195.126,22.9566,19.8947,1.61728,1,,,,,
3.40659,195.183,22.9532,19.8887,1.61703,1,,,,,
3.40759,195.241,22.9498,19.8838,1.61679,1,,,,,
3.40859,195.298,22.9464,19.88,1.61654,1,,,,,
3.40959,195.355,22.943,19.8772,1.6163,1,,,,,
3.41059,195.413,22.9395,19.8756,1.61605,1,,,,,
3.41159,195.47,22.9361,19.8751,1.6158,1,,,,,
3.41259,195.527,22.9327,19.8756,1.61556,1,,,,,
3.41359,195.584,22.9292,19.8772,1.61531,1,,,,,
3.41459,195.642,22.9257,19.88,1.61506,1,,,,,
3.41559,195.699,22.9223,19.8838,1.6148,1,,,,,
3.41659,195.756,22.9188,19.8887,1.61455,1,,,,,
3.41759,195.814,22.9153,19.8947,1.6143,1,,,,,
3.41859,195.871,22.9118,19.9018,1.61405,1,,,,,
3.41959,195.928,22.9083,19.91,1.61379,1,,,,,
3.42059,195.986,22.9048,19.9193,1.61354,1,,,,,
3.42159,196.043,22.9012,19.9296,1.61328,1,,,,,
3.42259,196.1,22.8977,19.9411,1.61302,1,,,,,
3.42359,196.157,22.8941,19.9537,1.61276,1,,,,,
3.42459,196.215,22.8906,19.9674,1.6125,1,,,,,
3.42559,196.272,22.887,19.9822,1.61224,1,,,,,
3.42659,196.329,22.8834,19.9981,1.61198,1,,,,,
3.42759,196.387,22.8798,20.0151,1.61172,1,,,,,
3.42859,196.444,22.8762,20.0332,1.61146,1,,,,,
3.42959,196.501,22.8726,20.0525,1.6112,1,,,,,
3.43059,196.558,22.869,20.0729,1.61093,1,,,,,
3.43159,196.616,22.8654,20.0944,1.61067,1,,,,,
3.43259,196.673,22.8617,20.117,1.6104,1,,,,,
3.43359,196.73,22.8581,20.1408,1.61013,1,,,,,
3.43459,196.788,22.8544,20.1657,1.60986,1,,,,,
3.43559,196.845,22.8507,20.1918,1.60959,1,,,,,
3.43659,196.902,22.847,20.219,1.60932,1,,,,,
3.43759,196.96,22.8434,20.2474,1.60905,1,,,,,
3.43859,197.017,22.8396,20.277,1.60878,1,,,,,
3.43959,197.074,22.8359,20.3077,1.60851,1,,,,,
3.44059,197.131,22.8322,20.3396,1.60824,1,,,,,
3.44159,197.189,22.8285,20.3727,1.60796,1,,,,,
3.44259,197.246,22.8247,20.407,1.60768,1,,,,,
3.44359,197.303,22.821,20.4425,1.60741,1,,,,,
3.44459,197.361,22.8172,20.4793,1.60713,1,,,,,
3.44559,197.418,22.8134,20.5172,1.60685,1,,,,,
3.44659,197.475,22.8097,20.5564,1.60657,1,,,,,
3.44759,197.533,22.8059,20.5968,1.60629,1,,,,,
3.44859,197.59,22.802,20.6384,1.60601,1,,,,,
3.44959,197.647,22.7982,20.6813,1.60573,1,,,,,
3.45059,197.704,22.7944,20.7255,1.60545,1,,,,,
3.45159,197.762,22.7906,20.771,1.60516,1,,,,,
3.45259,197.819,22.7867,20.8178,1.60488,1,,,,,
3.45359,197.876,22.7829,20.8658,1.60459,1,,,,,
3.45459,197.934,22.779,20.9152,1.6043,1,,,,,
3.45559,197.991,22.7751,20.9659,1.60402,1,,,,,
3.45659,198.048,22.7712,21.0179,1.60373,1,,,,,
3.45759,198.105,22.7673,21.0713,1.60344,1,,,,,
3.45859,198.163,22.7634,21.1261,1.60315,1,,,,,
3.45959,198.22,22.7595,21.1822,1.60285,1,,,,,
3.46059,198.277,22.7555,21.2397,1.60256,1,,,,,
3.46159,198.335,22.7516,21.2987,1.60227,1,,,,,
3.46259,198.392,22.7476,21.359,1.60197,1,,,,,
3.46359,198.449,22.7437,21.4208,1.60168,1,,,,,
3.46459,198.507,22.7397,21.4841,1.60138,1,,,,,
3.46559,198.564,22.7357,21.5488,1.60108,1,,,,,
3.46659,198.621,22.7317,21.615,1.60078,1,,,,,
3.46759,198.678,22.7277,21.6827,1.60048,1,,,,,
3.46859,198.736,22.7237,21.7519,1.60018,1,,,,,
3.46959,198.793,22.7197,21.8227,1.59988,1,,,,,
3.47059,198.85,22.7156,21.895,1.59958,1,,,,,
3.47159,198.908,22.7116,21.969,1.59927,1,,,,,
3.47259,198.965,22.7075,22.0445,1.59897,1,,,,,
3.47359,199.022,22.7034,22.1216,1.59866,1,,,,,
3.47459,199.079,22.6993,22.2004,1.59836,1,,,,,
3.47559,199.137,22.6952,22.2809,1.59805,1,,,,,
3.47659,199.194,22.6911,22.363,1.59774,1,,,,,
3.47759,199.251,22.687,22.4468,1.59743,1,,,,,
3.47859,199.309,22.6829,22.5324,1.59712,1,,,,,
3.47959,199.366,22.6787,22.6197,1.59681,1,,,,,
3.48059,199.423,22.6746,22.7089,1.59649,1,,,,,
3.48159,199.481,22.6704,22.7998,1.59618,1,,,,,
3.48259,199.538,22.6663,22.8926,1.59586,1,,,,,
3.48359,199.595,22.6621,22.9872,1.59555,1,,,,,
3.48459,199.652,22.6579,23.0837,1.59523,1,,,,,
3.48559,199.71,22.6537,23.1822,1.59491,1,,,,,
3.48659,199.767,22.6494,23.2826,1.59459,1,,,,,
3.48759,199.824,22.6452,23.3849,1.59427,1,,,,,
3.48859,199.882,22.641,23.4893,1.59395,1,,,,,
3.48959,199.939,22.6367,23.5958,1.59363,1,,,,,
3.49059,199.996,22.6324,23.7043,1.5933,1,,,,,
3.49159,200.054,22.6282,23.8149,1.59298,1,,,,,
3.49259,200.111,22.6239,23.9277,1.59265,1,,,,,
3.49359,200.168,22.6196,24.0426,1.59233,1,,,,,
3.49459,200.225,22.6153,24.1598,1.592,1,,,,,
3.49559,200.283,22.611,24.2793,1.59167,1,,,,,
3.49659,200.34,22.6066,24.401,1.59134,1,,,,,
